Column1,onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z,id,onset_s,similarity,f0
8932,25250,250,44100,0.1009742719299962,2.3427576305967093,491.4293556983783,0.1504138758528183,0.005032840622528652,(-0.07043378950534222+0.07235250436377422j),(3087.741707240781+0.9450782547543626j),(0.9975712018272042-0.06996112417182554j),80,0.572562358276644,0.00026940004482597284,2
9058,25500,250,44100,0.1035763828390058,-2.578106432509877,492.0367120026834,0.6894376145626214,0.00539833259276431,(-0.08756328073621462-0.055323945527440195j),(3091.5578394482136+4.331864290036806j),(0.9976417579230153-0.07005282704852969j),81,0.5782312925170068,2.20893354442348e-6,2
9315,26000,250,44100,0.1190794196550141,0.1471035934310044,490.5761316748426,2.364580833807042,0.007580373314176231,(0.11779333375301218+0.017453902392486398j),(3082.380742592369+14.857099552614864j),(0.9978944506565739-0.0698618906138162j),82,0.5895691609977324,9.4550444318175e-6,2
9703,26750,250,44100,0.1240284261795227,-1.9891396307690168,493.2829098707726,1.5913196065189446,0.007995856810678914,(-0.050386198791360685-0.1133326143346513j),(3099.3879315828303+9.998555970706633j),(0.9977575041209437-0.07023898521739941j),83,0.6065759637188208,9.684775576289472e-5,2
9957,27250,250,44100,0.1361698827478627,0.6393203342467232,490.57833516140255,0.8544848516141166,0.009385698663208925,(0.10927653051390558+0.08124578048372817j),(3082.394587506747+5.368886664869346j),(0.9976797526173343-0.06984717450504724j),84,0.6179138321995464,-0.002007811972776518,2
10351,28000,250,44100,0.1458739707053162,-1.6131980850552925,489.5833175183013,0.8011747648747924,0.010750548496710102,(-0.006183459570561489-0.14574285628144762j),(3076.142707271229+5.033929511144356j),(0.997682066722324-0.0697052073031131j),85,0.6349206349206349,-0.0018859626479494941,2
10553,28500,250,44100,0.1454504749907465,1.118794496444385,492.0613970417039,-0.5087941301382635,0.010202042325153801,(0.06352799724175529+0.1308435487193974j),(3091.712940122695-3.1968478028639553j),(0.9974712096207514-0.07004437684279408j),86,0.6462585034013606,0.00024548957282503577,2
10666,28750,250,44100,0.3529349887098936,-3.0863302284844583,484.9637130058253,-8.72763382041127,0.045600051863382444,(-0.3523962054799886-0.01949411754756661j),(3047.116876073459-54.83734058685173j),(0.9963741081224791-0.06895485733536708j),87,0.6519274376417233,-0.0014183058409179185,2
10866,29000,250,44100,0.1440835531071425,-2.564146053254497,492.4428830516085,0.6669632717335919,0.01043801483979692,(-0.12072173712803365-0.07865324189611443j),(3094.1098874150216+4.190653829384931j),(0.9976345078437064-0.07011033553190733j),88,0.6575963718820862,0.0010243104662667447,2
10984,29250,250,44100,0.1429140409589696,-1.2518636980205549,492.6373127810411,1.172146382387205,0.010457013784758365,(0.04481115415975943-0.13570697685120073j),(3095.3315254342715+7.36481292767899j),(0.9977043738780927-0.07014301997975943j),89,0.6632653061224489,-0.0010174607481031723,2
