,onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z,f0
255,0,250,44100,0.0160608641830426,-0.5725211099262126,1861.0479224772048,0.5322775263920075,0.0002628843699939,(0.013499763917594792-0.008701019048097045j),(11693.308962465866+3.344398333168156j),(0.9651252401826924-0.2620781479999535j),0
256,0,250,44100,0.0182165512533824,0.7373879023043568,-1553.055547497177,4.896062281534861,0.000396795037268,(0.013484389338793198+0.01224801958387352j),(-9758.13579726801+30.762866590376j),(0.9762996703277526+0.21962483630572657j),0
257,0,250,44100,0.0182165512533824,-0.7373879023043568,1553.055547497177,4.896062281534861,0.000396795037268,(0.013484389338793198-0.01224801958387352j),(9758.13579726801+30.762866590376j),(0.9762996703277526-0.21962483630572657j),0
258,0,250,44100,0.0489119707378882,-3.0299240944378125,-934.5370940240902,1.5755333877745104,0.0025312373928335,(-0.048607324622656795-0.005450584784378421j),(-5871.86973818647+9.89936823303568j),(0.9913712772705264+0.1327857007995785j),0
259,0,250,44100,0.0489119707378882,3.0299240944378125,934.5370940240902,1.5755333877745104,0.0025312373928335,(-0.048607324622656795+0.005450584784378421j),(5871.86973818647+9.89936823303568j),(0.9913712772705264-0.1327857007995785j),0
260,0,250,44100,0.100202057309262,-0.6424704526533421,-622.3985930228613,0.5773170644004758,0.0102489352058113,(0.08022356757986604-0.0600385833757535j),(-3910.645694890489+3.627390096625121j),(0.9961527246887597+0.08856788421676533j),0
261,0,250,44100,0.100202057309262,0.6424704526533421,622.3985930228613,0.5773170644004758,0.0102489352058113,(0.08022356757986604+0.0600385833757535j),(3910.645694890489+3.627390096625121j),(0.9961527246887597-0.08856788421676533j),0
262,0,250,44100,0.3258932138949095,2.912336035762262,-311.07181351636973,0.0205422687932791,0.1062838243259403,(-0.317366413614476+0.07406042379191857j),(-1954.5218481637626+0.1290708814580654j),(0.9990209435666103+0.04430584484158292j),0
263,0,250,44100,0.3258932138949095,-2.912336035762262,311.07181351636973,0.0205422687932791,0.1062838243259403,(-0.317366413614476-0.07406042379191857j),(1954.5218481637626+0.1290708814580654j),(0.9990209435666103-0.04430584484158292j),1
264,250,250,44100,0.0022231253091387,2.455527267379957,6222.590986188184,-0.0023992222744327,4.941865496515631e-06,(-0.0017201311288534745+0.001408344787217462j),(39097.69225700573-0.015074758143374112j),(0.632074245103951-0.7749073912500791j),0
265,250,250,44100,0.0022231253091387,-2.455527267379957,-6222.590986188184,-0.0023992222744327,4.941865496515631e-06,(-0.0017201311288534745-0.001408344787217462j),(-39097.69225700573-0.015074758143374112j),(0.632074245103951+0.7749073912500791j),0
266,250,250,44100,0.0024295103100091,2.854961403126856,5911.498160218808,-0.0542658089438399,5.891171647648227e-06,(-0.00233039051141046+0.0006868772894549549j),(37143.03838370597-0.34096213343814963j),(0.6657837005679671-0.7461344389868851j),0
267,250,250,44100,0.0024295103100091,-2.854961403126856,-5911.498160218808,-0.0542658089438399,5.891171647648227e-06,(-0.00233039051141046-0.0006868772894549549j),(-37143.03838370597-0.34096213343814963j),(0.6657837005679671+0.7461344389868851j),0
268,250,250,44100,0.0032245285816528,-2.762180653015604,4978.019311844089,-0.0519098629905573,1.0378460127517732e-05,(-0.0029952084154635083-0.0011942826808729054j),(31277.817799035016-0.32615928843997555j),(0.7588465087402576-0.6512581550181586j),0
269,250,250,44100,0.0032245285816528,2.762180653015604,-4978.019311844089,-0.0519098629905573,1.0378460127517732e-05,(-0.0029952084154635083+0.0011942826808729054j),(-31277.817799035016-0.32615928843997555j),(0.7588465087402576+0.6512581550181586j),0
270,250,250,44100,0.0052247874546961,-1.5303637240807009,3733.4995603561865,-0.0498213963134486,2.7250211257612063e-05,(0.00021119420122817111-0.005220517307328595j),(23458.269581991437-0.31303706529983155j),(0.8618218664383814-0.5071970760336985j),0
271,250,250,44100,0.0052247874546961,1.5303637240807009,-3733.4995603561865,-0.0498213963134486,2.7250211257612063e-05,(0.00021119420122817111+0.005220517307328595j),(-23458.269581991437-0.31303706529983155j),(0.8618218664383814+0.5071970760336985j),0
272,250,250,44100,0.010225107991707,1.8456908148909243,2489.018403507968,-0.010209978518179,0.0001045149720842,(-0.002775558407477387+0.009841194488920227j),(15638.963862220853-0.06415118701204175j),(0.9377753943891778-0.3472382472187782j),0
273,250,250,44100,0.010225107991707,-1.8456908148909243,-2489.018403507968,-0.010209978518179,0.0001045149720842,(-0.002775558407477387-0.009841194488920227j),(-15638.963862220853-0.06415118701204175j),(0.9377753943891778+0.3472382472187782j),0
274,250,250,44100,0.10288200002492,-2.680107675420751,622.2521454816149,-0.0014255181992233,0.0105841706534408,(-0.09211974616082746-0.045811115424014365j),(3909.7255378510567-0.008956795004476988j),(0.9960724360845983-0.08853979821933919j),0
275,250,250,44100,0.10288200002492,2.680107675420751,-622.2521454816149,-0.0014255181992233,0.0105841706534408,(-0.09211974616082746+0.045811115424014365j),(-3909.7255378510567-0.008956795004476988j),(0.9960724360845983+0.08853979821933919j),0
276,250,250,44100,4.422734948382478e-05,0.0,-0.0,-11.06444191558607,1.3554819824441784e-09,(4.422734948382478e-05+0j),(-0-69.51993887615235j),(0.9984248260432659+0j),0
277,250,250,44100,0.0026444060627802,-3.0742944649674984,-5600.329186213279,0.0184734241124118,6.997468373420708e-06,(-0.0026384200039491655-0.00017782943409231072j),(-35187.906058184286+0.1160719469564031j),(0.698205080069246+0.7159014808011147j),0
278,250,250,44100,0.0026444060627802,3.0742944649675,5600.329186213279,0.0184734241124118,6.997468373420703e-06,(-0.0026384200039491646+0.00017782943409230725j),(35187.906058184286+0.1160719469564031j),(0.698205080069246-0.7159014808011147j),0
279,250,250,44100,0.0029189747089664,2.9848507476218185,-5289.174774309977,0.0088213998261871,8.52308039197526e-06,(-0.0028831913376729337+0.00045565454233832713j),(-33232.86522904935+0.05542648977665543j),(0.729245033216634+0.6842544813189283j),0
280,250,250,44100,0.0029189747089664,-2.9848507476218185,5289.174774309977,0.0088213998261871,8.52308039197526e-06,(-0.0028831913376729337-0.00045565454233832713j),(33232.86522904935+0.05542648977665543j),(0.729245033216634-0.6842544813189283j),0
281,250,250,44100,0.0035900466510715,2.3703276646751887,-4666.868233615816,0.018910925472656,1.2897085597060183e-05,(-0.0025741693267854592+0.002502416279100486j),(-29322.797915998046+0.11882084907496038j),(0.7869707032885827+0.6169947332681464j),0
282,250,250,44100,0.0035900466510715,-2.3703276646751887,4666.868233615816,0.018910925472656,1.2897085597060183e-05,(-0.0025741693267854592-0.002502416279100486j),(29322.797915998046+0.11882084907496038j),(0.7869707032885827-0.6169947332681464j),0
283,250,250,44100,0.004030464654372,2.1442022264067946,-4355.794265157641,0.001576728596294,1.6245554037474554e-05,(-0.002186512337565962+0.0033858247337708557j),(-27368.262527935596+0.009906877949644732j),(0.8135324757971584+0.5815198707825588j),0
284,250,250,44100,0.004030464654372,-2.1442022264067946,4355.794265157641,0.001576728596294,1.6245554037474554e-05,(-0.002186512337565962-0.0033858247337708557j),(27368.262527935596+0.009906877949644732j),(0.8135324757971584-0.5815198707825588j),0
285,250,250,44100,0.0045622762510595,1.9227361739087956,-4044.648289336596,0.006438777066654,2.0819119841957445e-05,(-0.0015727051346154418+0.0042826350709039675j),(-25413.274704268748+0.04045602946140536j),(0.8385045951116464+0.5448962091250978j),0
286,250,250,44100,0.0045622762510595,-1.9227361739087956,4044.648289336596,0.006438777066654,2.0819119841957445e-05,(-0.0015727051346154418-0.0042826350709039675j),(25413.274704268748+0.04045602946140536j),(0.8385045951116464-0.5448962091250978j),0
287,250,250,44100,0.0060135582282864,-1.0058099546660375,-3422.3989560617138,0.0184049287149478,3.618650514089708e-05,(0.0032196849699076442-0.005079026605516329j),(-21503.566836033715+0.11564157768144817j),(0.883457813033419+0.4685163146785347j),0
288,250,250,44100,0.0060135582282864,1.0058099546660375,3422.3989560617138,0.0184049287149478,3.618650514089708e-05,(0.0032196849699076442+0.005079026605516329j),(21503.566836033715+0.11564157768144817j),(0.883457813033419-0.4685163146785347j),0
289,250,250,44100,0.007046037324812,-1.2281910705532886,-3111.213336255528,0.007123634723743,4.9659190877124186e-05,(0.0023670604000674985-0.006636540291829517j),(-19548.329921861918+0.0447591170299369j),(0.90335372781761+0.42889867373543655j),0
290,250,250,44100,0.007046037324812,1.2281910705532886,3111.213336255528,0.007123634723743,4.9659190877124186e-05,(0.0023670604000674985+0.006636540291829517j),(19548.329921861918+0.0447591170299369j),(0.90335372781761-0.42889867373543655j),0
291,250,250,44100,0.0083936526226626,-1.4515611513750737,-2800.159870611498,0.0071921146112957,7.047138366877317e-05,(0.0009984488837625574-0.008334056885841696j),(-17593.923356780055+0.04518938885324508j),(0.9214683082097382+0.3884561833367738j),0
292,250,250,44100,0.0083936526226626,1.4515611513750737,2800.159870611498,0.0071921146112957,7.047138366877317e-05,(0.0009984488837625574+0.008334056885841696j),(17593.923356780055+0.04518938885324508j),(0.9214683082097382-0.3884561833367738j),0
293,250,250,44100,0.012755652084391,-2.0689715880290067,-2177.87881519575,0.0148433744529696,0.0001627923700759,(-0.006094948823775089-0.011205278172967983j),(-13684.016172455624+0.09326367227186355j),(0.9522455037801854+0.30534035138573995j),0
294,250,250,44100,0.012755652084391,2.0689715880290067,2177.87881519575,0.0148433744529696,0.0001627923700759,(-0.006094948823775089+0.011205278172967983j),(13684.016172455624+0.09326367227186355j),(0.9522455037801854-0.30534035138573995j),0
295,250,250,44100,0.0165014050293838,-2.29146187462383,-1866.770353406924,0.0091938841353458,0.0002723852013122,(-0.010889027819011203-0.012398606417681528j),(-11729.264056404827+0.05776687771511663j),(0.9648393358983572+0.2628453456306522j),0
296,250,250,44100,0.0165014050293838,2.29146187462383,1866.770353406924,0.0091938841353458,0.0002723852013122,(-0.010889027819011203+0.012398606417681528j),(11729.264056404827+0.05776687771511663j),(0.9648393358983572-0.2628453456306522j),0
297,250,250,44100,0.0223630566997021,-0.5287472972492079,-1555.636473647031,0.0054335082550216,0.0005002027187565,(0.01930915043944032-0.011281091004914187j),(-9774.352234531689+0.034139739234391106j),(0.9755388549858316+0.21983059546301797j),0
298,250,250,44100,0.0223630566997021,0.5287472972492079,1555.636473647031,0.0054335082550216,0.0005002027187565,(0.01930915043944032+0.011281091004914187j),(9774.352234531689+0.034139739234391106j),(0.9755388549858316-0.21983059546301797j),0
299,250,250,44100,0.0324485667418176,-0.9225372114948472,-1244.5053837002583,0.0035216804959715,0.0010530410417797,(0.019592431595546737-0.02586592561212566j),(-7819.457941571357+0.022127371148869188j),(0.984321868320578+0.1763844184027773j),0
300,250,250,44100,0.0324485667418176,0.9225372114948472,1244.5053837002583,0.0035216804959715,0.0010530410417797,(0.019592431595546737+0.02586592561212566j),(7819.457941571357+0.022127371148869188j),(0.984321868320578-0.1763844184027773j),0
301,250,250,44100,0.0523800908432439,-1.1459808508862124,-933.3834586828682,5.057346593034229e-05,0.002743678839367,(0.021588594093197775-0.04772427602201662j),(-5864.6212335606615+0.0003177624580666741j),(0.9911705779131915+0.1325929858258945j),0
