onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z
0,250,44100,0.0011416105437784933,2.8743781508473756,-18705.462234065206,-172.42805763650455,1.0872771731879203e-07,(-0.0011010949410056757+0.0003014374969341648j),(-117529.88547308114-1083.3974382872002j),(-0.8670343413803543+0.44755481271215847j)
0,250,44100,0.0012189714282664198,-3.1009737677011873,18514.97433903907,-151.05966597987413,1.4106898815005097e-07,(-0.0012179659797618059-4.949964719813338e-05j),(116333.01472985736-949.1358737922011j),(-0.8571756147987333-0.47235423932254283j)
0,250,44100,0.0012189714282664198,3.1009737677011873,-18514.97433903907,-151.05966597987413,1.4106898815005097e-07,(-0.0012179659797618059+4.949964719813338e-05j),(-116333.01472985736-949.1358737922011j),(-0.8571756147987333+0.47235423932254283j)
0,250,44100,0.0010202796495828532,-3.028494401204469,18313.98971155702,-119.96605645991407,1.2387575780111022e-07,(-0.0010137612941470261-0.00011514600228516977j),(115070.19107149319-753.7689633092087j),(-0.8470441513075124-0.49890816992975123j)
0,250,44100,0.0010202796495828532,3.028494401204469,-18313.98971155702,-119.96605645991407,1.2387575780111022e-07,(-0.0010137612941470261+0.00011514600228516977j),(-115070.19107149319-753.7689633092087j),(-0.8470441513075124+0.49890816992975123j)
0,250,44100,0.0009015661377697337,-2.8515543895865587,18159.469459371485,-107.15825462450547,1.0805920974523512e-07,(-0.0008639103646096857-0.0002578379000321603j),(114099.31169329933-673.2951709997018j),(-0.8373827742147822-0.5183788604398969j)
0,250,44100,0.0009015661377697337,2.8515543895865587,-18159.469459371485,-107.15825462450547,1.0805920974523512e-07,(-0.0008639103646096857+0.0002578379000321603j),(-114099.31169329933-673.2951709997018j),(-0.8373827742147822+0.5183788604398969j)
0,250,44100,0.0005726260619918342,-3.059381628265328,18015.875529427656,-80.75188531888291,5.747572468205154e-08,(-0.0005706920612942877-4.702316501420281e-05j),(113197.08442247611-507.37905936265605j),(-0.8297186937287028-0.537419036809113j)
0,250,44100,0.0005726260619918342,3.059381628265328,-18015.875529427656,-80.75188531888291,5.747572468205154e-08,(-0.0005706920612942877+4.702316501420281e-05j),(-113197.08442247611-507.37905936265605j),(-0.8297186937287028+0.537419036809113j)
0,250,44100,0.001152441711577396,-2.4125590276189657,17899.943453114585,-133.9264862412481,1.4186965454409606e-07,(-0.0008595123484234142-0.0007676981317491307j),(112468.66170395499-841.4849305931991j),(-0.8145346551243393-0.5468909667655049j)
0,250,44100,0.001152441711577396,2.4125590276189657,-17899.943453114585,-133.9264862412481,1.4186965454409606e-07,(-0.0008595123484234142+0.0007676981317491307j),(-112468.66170395499-841.4849305931991j),(-0.8145346551243393+0.5468909667655049j)
