,onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z
86215,216000,250,44100,0.4300905024262857,-1.3955280979675486,562.088685151579,1.0025338850440964,0.1917159653762827,(0.0749958543628568-0.42350143105505567j),(3531.707367876294+6.299106176458734j),(0.9969373738171559-0.08000991966426987j)
86267,216250,250,44100,0.4465809309234743,-2.5582420145435942,562.4583216128212,-0.6719988157247246,0.1947547992631852,(-0.37272614806387283-0.2459872891308509j),(3534.0298622585688-4.222293085403672j),(0.9966953383476083-0.08004332348107301j)
86367,216500,250,44100,0.4317369860347724,2.537568320952631,562.5362884114093,-2.4040431287397377,0.171367883700345,(-0.35534398819296154+0.24520904380856287j),(3534.5197421019047-15.105048464323561j),(0.9964485207068913-0.08003464220729989j)
86490,216750,250,44100,0.3968167220606791,1.3495969395940488,562.5448892387196,-2.265449599705717,0.1454610758794668,(0.08706156689417754+0.38714828486887676j),(3534.5737826936906-14.234239639026836j),(0.9964680989267343-0.08003744368778255j)
86598,217000,250,44100,0.3635570779952997,0.1395486060240385,563.8532229265902,-1.7940961322476825,0.1241076854414083,(0.36002289755850414+0.050569380004694825j),(3542.7942856982077-11.27263845780636j),(0.9965200827009999-0.08022857758127291j)
86719,217250,250,44100,0.3408299108880924,-1.1190276593772426,566.0032972013308,-1.027720109508686,0.1120309597713729,(0.14879183487447573-0.30663662212898146j),(3556.3036007906026-6.45735589195797j),(0.9966042725897766-0.08054263544862937j)
86823,217500,250,44100,0.322092103473536,-2.428082571507126,569.0279398653839,-0.0789688157528085,0.1034532255907142,(-0.24352392508305443-0.21080659627286316j),(3575.3079911368495-0.49617570286341883j),(0.9967041906652784-0.0809830492386997j)
86999,217750,250,44100,0.3214399915570676,2.4605702527504905,567.3319372242496,0.0182003564311174,0.1033904114721909,(-0.24973619068859457+0.20237466054957975j),(3564.6516922611363+0.11435621211342878j),(0.9967375292634777-0.08074332166785106j)
87116,218000,250,44100,0.3213025841864158,1.1058802161460737,567.3334250160766,2.180703922823223,0.111651274215658,(0.14405531245955025+0.28719926454824035j),(3564.661040332884+13.701766847191761j),(0.9970446588243493-0.08076841423337502j)
87232,218250,250,44100,0.3439923554264472,-0.2513651290867118,566.3804880300227,2.748711113321701,0.1306595751552479,(0.33318197621115275-0.085559986675233j),(3558.673560663442+17.270661280904157j),(0.9971363078992278-0.08063956990303767j)
87341,218500,250,44100,0.3745418508006869,-1.601509714289132,568.4442516835771,4.620688908411374,0.1660166607179656,(-0.0115016405245075-0.37436520974370613j),(3571.6405701289464+29.032644658378025j),(0.9973785308117807-0.08095434946701043j)
87454,218750,250,44100,0.4265750498232352,-2.91632068511618,565.823469007689,2.1438419470564014,0.1965366605987882,(-0.41579694573526205-0.09528469472545525j),(3555.173706926496+13.470156222660059j),(0.997056775146798-0.08055349281510803j)
87519,219000,250,44100,0.4614415282072246,2.057598388502479,566.0028782605666,-0.7720881715848827,0.207201237387155,(-0.21586319615392127+0.40783742410479273j),(3556.300968508148-4.851173055549286j),(0.9966405757609027-0.08054550948751912j)
87617,219250,250,44100,0.44301214450539,0.756074375529283,565.3505251497077,-0.4911888385155282,0.1928792698871467,(0.32230678102634724+0.3039376565740066j),(3552.2021130269063-3.086230493211373j),(0.9966879457458429-0.08045609671029753j)
87739,219500,250,44100,0.4346840735363819,-0.5342560747193246,565.480881754911,-1.4199627624210371,0.1797442007578354,(0.37410983717521207-0.2213415313828813j),(3553.021167733414-8.921889165585998j),(0.9965545706291794-0.08046395952363901j)
87855,219750,250,44100,0.4125131988969525,-1.8210456522006275,566.4608590747985,-0.4112477714538177,0.1677084843990653,(-0.10215704814133116-0.3996637046058179j),(3559.1785468310995-2.5839459552089763j),(0.9966865573279747-0.08061468569737515j)
87963,220000,250,44100,0.4014080172516578,-3.1391334250057525,567.4845468695809,-2.9353819084157693,0.1454577653470966,(-0.4014068034335168-0.0009871530748694346j),(3565.6105669424155-18.443548477918736j),(0.9963164211188389-0.08073101399891218j)
88055,220250,250,44100,0.3583098517067678,1.7699195876499485,569.0333176781808,-4.955000466938159,0.1082497492574151,(-0.07087726883369708+0.3512297860273268j),(3575.3417809311995-31.133186130933833j),(0.9960119419871971-0.08092757164549398j)
88169,220500,250,44100,0.2894552172575824,0.3904333808247208,571.9481703132562,-2.2351763513870724,0.0774789184214637,(0.2676720352394728+0.11016353456744504j),(3593.6563401804992-14.044027209990528j),(0.9963642727849742-0.08137273113686574j)
88276,220750,250,44100,0.2669340537784705,-1.1346892324255835,572.1325282485128,-1.1381067590738718,0.0684528945318335,(0.11275671706227111-0.24194981261399306j),(3594.8146952505654-7.150935666614728j),(0.9965178845427453-0.08141162629120258j)
88393,221000,250,44100,0.2540367120650175,-2.629098354210332,568.9605998006813,-0.9826439681092706,0.0623364116717614,(-0.22139912543662796-0.1245675653318348j),(3574.8848810317254-6.1741341426128145j),(0.9965766482082403-0.0809630617041424j)
88524,221250,250,44100,0.2456467769211716,2.2498062608252054,565.7536592422942,-1.636314148432647,0.0569714013293675,(-0.15427179327724871+0.19116106510160935j),(3554.7350792342695-10.281265015362086j),(0.9965207246341404-0.08050020832032528j)
88610,221500,250,44100,0.2327743983383069,0.9643684397147796,564.376412162624,-3.911036857546688,0.0473168566875672,(0.13266649463217278+0.1912681931837399j),(3546.0815806189294-24.57376931917517j),(0.9962135833171126-0.08027864306403852j)
88739,221750,250,44100,0.2127123403925874,-0.3458870249761109,559.3308785566988,-15.489770758798064,0.0274627874401052,(0.20011447192590187-0.07211614161274442j),(3514.3795579993-97.32510004325998j),(0.9946288520668443-0.07943133236331042j)
88840,222000,250,44100,0.1380468837549071,-1.3710417868712232,559.965497531745,-12.050639274968448,0.0128126988216496,(0.027392471633416182-0.13530186477744244j),(3518.366986618967-75.71639963460301j),(0.9951091432681756-0.07956023870029819j)
89011,222250,250,44100,0.0251248130808469,0.8564772227321527,576.6650351856924,30.14066038687258,0.0022132253074258,(0.016459343560239672+0.018982788043738284j),(3623.293276242942+189.37935449148756j),(1.0009157290252662-0.08242162562331613j)
89121,222500,250,44100,0.0764165936461378,-2.078052683022326,536.1414473663591,2.237723682715927,0.0063286669231887,(-0.03712172258833949-0.06679426245234933j),(3368.676064662305+14.060032564768505j),(0.9974018578262395-0.07633728147258229j)
89238,222750,250,44100,0.1947740818452466,-1.9920159782822744,563.70498704562,9.840775448857675,0.0548957082527312,(-0.07963801894383421-0.1777490615934732j),(3541.8628921888985+61.831415711516144j),(0.9981750693456504-0.08034060037441447j)
89353,223000,250,44100,0.2901489945112922,3.060424230320399,560.4676845317571,6.490399750159935,0.1069308060421901,(-0.28919372296613677+0.02352508475859827j),(3521.5223205988996+40.78038434792696j),(0.9977356388092193-0.07984207459568948j)
89470,223250,250,44100,0.3685485783408049,1.9414859935580453,561.4277510449223,3.218437959414217,0.1525905140564585,(-0.1335097966034737+0.3435159222043827j),(3527.5545964083344+20.22204209866046j),(0.9972597016932462-0.07994127505774846j)
89585,223500,250,44100,0.4197325803855385,0.7815231347756808,561.7577536510793,0.555071073774577,0.1796907703495918,(0.2979436147213632+0.2956434363957206j),(3529.6280639346705+3.487614415180818j),(0.9968775895450463-0.07995781654316719j)
89628,223750,250,44100,0.428462790322984,-0.3784315568966347,561.68805186189,-1.149860831316709,0.1762915305227187,(0.39814701730527263-0.15830134333691637j),(3529.190114676953-7.224788680630448j),(0.9966362595934309-0.07992849880451938j)
89751,224000,250,44100,0.4090950600679022,-1.568099381176009,561.3346371560743,-2.878885603448983,0.1513748082617607,(0.001103305792472059-0.4090935722891388j),(3526.9695445900306-18.088571724641486j),(0.996394796573439-0.07985863987164471j)
89860,224250,250,44100,0.3721727694473409,-2.70524391536541,564.1451849989414,-3.3021265030356823,0.1234847674988839,(-0.33730049555298425-0.157292549149077j),(3544.6287375014585-20.747872726322107j),(0.9963026580118621-0.08025278550330048j)
89983,224500,250,44100,0.3264205014492491,2.3406563709222685,564.0454449163182,-3.315701606998142,0.0949463212821406,(-0.22720001407819762+0.2343725610417014j),(3544.002052079783-20.83316762008247j),(0.9963018713739927-0.0802384722913443j)
90090,224750,250,44100,0.2898577329590233,1.105713867349975,563.8035083364839,-4.914234074887463,0.0709366067106914,(0.13000017987533416+0.25907037381477116j),(3542.481919716099-30.87704333537417j),(0.9960777517933996-0.08018586500329493j)
90199,225000,250,44100,0.2531071629517858,-0.0866336714286939,565.2637050510589,-1.9042090920081467,0.0599243301477149,(0.2521579225088087-0.02190018387008409j),(3551.6566062587085-11.964498588703368j),(0.9964883064041374-0.08042757449391291j)
90312,225250,250,44100,0.2372580172489001,-1.3599170000103424,565.0531683734971,-0.6878042911674119,0.0549399256602492,(0.049662807343771515-0.23200209549832695j),(3550.33376529963-4.321601816478153j),(0.9966634335882165-0.08041161819690774j)
90478,225500,250,44100,0.2163293980149554,-2.6177813354579413,565.8904567074312,3.718486403858829,0.0535539765994809,(-0.18732376043571947-0.1082045157178488j),(3555.5946030572773+23.363939137672855j),(0.9972797197197897-0.0805810850943699j)
90589,225750,250,44100,0.2490347814068901,2.366745653815967,564.2159659356539,1.4477192273249793,0.0653157362473047,(-0.17794234481239082+0.17422641669117167j),(3545.0734672430385+9.096288178049694j),(0.9969763124997151-0.08031716810748604j)
90699,226000,250,44100,0.2589663874212635,1.0385779534359558,565.7841371042452,4.628207016677622,0.0793889345985463,(0.13141148952876222+0.22314705965764367j),(3554.9265772886743+29.0798823257743j),(0.9974102094211982-0.08057642140823383j)
90810,226250,250,44100,0.2996417575434722,-0.2500043343504476,566.3446612646427,3.4940323094354127,0.1018963421272813,(0.29032629962787004-0.07413381555086195j),(3558.4484544576026+21.953652469455342j),(0.9972426113528985-0.08064304312281892j)
90925,226500,250,44100,0.3384880996881584,-1.56271196894348,565.5223618949274,2.5753916622704067,0.1257116149374705,(0.002736429118703615-0.33847703849179933j),(3553.2817951397046+16.18166305261023j),(0.9971215365612927-0.0805156688999408j)
91035,226750,250,44100,0.3703157555849953,-2.8663504841538234,564.588879287481,0.960926575535802,0.141916993166015,(-0.35637685170264677-0.10064441566721799j),(3547.4165509360896+6.037679740684946j),(0.996902899954009-0.08036456451747252j)
91147,227000,250,44100,0.3715214893152059,2.153402656823421,568.0241369166904,0.2634286344704477,0.139326253685049,(-0.20441192988129536+0.31023213880124195j),(3569.000911198315+1.6551709255950988j),(0.9967643868203023-0.0808444458526516j)
91198,227250,250,44100,0.3877978101216481,0.8279275766491951,564.8873764321936,-3.214022055986623,0.1344744195308718,(0.26230784100705845+0.28562517060189485j),(3549.2920638099827-20.194296159126274j),(0.9963066724788039-0.08035914716457444j)
91325,227500,250,44100,0.349857361887103,-0.4247074434382258,566.4624814428402,-4.070089792610524,0.1063147060504508,(0.31877579634412556-0.14416020717164624j),(3559.1887404701424-25.573128383832056j),(0.9961671047379377-0.08057290274541926j)
