,onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z
39381,85000,250,44100,0.2245315127073154,-2.985307259235712,991.9864338434662,4.821736160459756,0.0601142121323578,(-0.2217949844452145-0.03494832003948675j),(6232.834586046742+30.29586179849725j),(0.9907093128574924-0.14096085882956258j)
39825,85750,250,44100,0.2829507359468114,-2.183426475043932,997.1317595197518,2.1249776463320766,0.086412444100206,(-0.16270269208565463-0.23149287885574985j),(6265.163620736633+13.351628325518764j),(0.9902251700411626-0.14163266573294092j)
39963,86000,250,44100,0.3405861309751639,0.0076598387446866,996.227982464419,0.4994753777402879,0.1180789183128071,(0.34057613939691667+0.0026088093306038673j),(6259.4850220216+3.138296354715751j),(0.9900140906651378-0.14147238875007057j)
40184,86500,250,44100,0.3524847168880318,-1.869276177492504,998.1033625497884,-0.1373638647053748,0.1236419703310205,(-0.10365433884587116-0.3368994711750989j),(6271.26838261937-0.8630826164542157j),(0.9898864337688258-0.14172405207904343j)
40476,87000,250,44100,0.3396480055472821,2.403044771001375,999.3674171129836,-1.511317338438193,0.1093912619565105,(-0.25115167329060384+0.22865608383678826j),(6279.210671678312-9.495886895360613j),(0.9896671421506269-0.14187455021237796j)
40660,87250,250,44100,0.3215843286796589,-1.779057315655041,999.2689262222082,-1.9515261552605856,0.0965765735052494,(-0.06649038309175362-0.31463551835204295j),(6278.5918351605005-12.26180046530998j),(0.9896070636792215-0.1418517655227774j)
40806,87500,250,44100,0.3027121775998348,0.3368875178791868,1000.7708701297856,-1.5319336426036156,0.0868305195264204,(0.2856961418560406+0.10006186584212332j),(6288.028827052799-9.625422954781142j),(0.989635846503086-0.14207202209474556j)
40966,87750,250,44100,0.2852928193232397,2.3867968108992,1000.7684447271998,-0.2569921669878992,0.0806544261886482,(-0.20781055183148547+0.19546551436224285j),(6288.013587798908-1.6147294076786107j),(0.9898156776826699-0.1420974895494265j)
41193,88000,250,44100,0.2843600017290384,-1.8026663802607568,1000.8944320616948,2.1708282154441445,0.0874210786821615,(-0.06534534035805985-0.27675006246942035j),(6288.805189567897+13.639715947689531j),(0.9901555681662242-0.14216442386321107j)
41509,88500,250,44100,0.3114132345408308,2.3768431182903127,998.2750467403054,0.4282015372083132,0.0984664711011503,(-0.22470202273950013+0.21560891360043455j),(6272.347106202701+2.6904696070989864j),(0.9899627341862289-0.141759687955006j)
41661,88750,250,44100,0.3086131931838742,-1.775436325135722,995.413412139323,1.154819900303673,0.0992530878532535,(-0.06271473226638136-0.3021737337425333j),(6254.366925723292+7.255947430026632j),(0.9901229470317342-0.14137068939718944j)
41801,89000,250,44100,0.3230505806477615,0.4588164120290439,995.260693406242,0.9595557467047956,0.1079965073369032,(0.2896398242773802+0.14307497981626327j),(6253.407365623467+6.029066569115308j),(0.9900984774980998-0.14134521320447402j)
41949,89250,250,44100,0.3411258279092951,2.7047971261728123,993.0737427207664,0.3403576436214025,0.1177833266641442,(-0.30909818125561905+0.1443091986370601j),(6239.66634920896+2.138530145588262j),(0.990055123572103-0.14102426204736448j)
42097,89500,250,44100,0.3459756192086977,-1.2627384043915524,992.4097562893528,1.4017450328506291,0.1258544104616548,(0.10490276812808166-0.3296885474594283j),(6235.494399418935+8.807423794819039j),(0.9902181918553501-0.14095191361569012j)
42233,89750,250,44100,0.3632769131514646,1.0767879183149396,990.667311427904,0.1699002859382196,0.1327687734120375,(0.17225096277751295+0.3198432763887286j),(6224.54629546691+1.067514980292632j),(0.9900793713099771-0.1406813884498513j)
42314,90000,250,44100,0.3658119173525646,-2.7970177992328886,989.8554505724022,-0.2365936627069851,0.1327014241521395,(-0.3443091820556369-0.12357000456962794j),(6219.445223268147-1.4865618252923318j),(0.9900382970865408-0.14055872368748462j)
42515,90250,250,44100,8.044903174036685e-05,-2.1046775501419974,328.3269165440911,1.2386764148912377,6.764989398369657e-09,(-4.093876426397316e-05-6.925362292690099e-05j),(2062.9388579814113+7.78283345039451j),(0.9990823820215494-0.04676985355094064j)
42564,90500,250,44100,0.3501979653459214,2.108275826964786,987.2510045563754,-1.1232667665726834,0.1178790567911205,(-0.17929172999307275+0.30082069491395413j),(6203.081006326905-7.057693243772606j),(0.9899653164116915-0.14017363065109645j)
42720,90750,250,44100,0.3375358266752664,-1.6430361490016787,987.348988837591,-1.6023376995707488,0.1076931041222575,(-0.024362325693437478-0.3366554787556002j),(6203.696659722973-10.067784691082867j),(0.9898957907615261-0.1401778826297914j)
43241,91500,250,44100,0.0002503918758664,2.6331978252089328,496.9617110582699,22.90610707565809,1.5751322822179438e-07,(-0.00021872406195279817+0.00012188468411895661j),(3122.5025211521483+143.92331542245728j),(1.0007550776319412-0.07097716002094892j)
43705,92250,250,44100,0.3640213201195992,0.0457637208700508,997.7125225492651,0.2382162012919164,0.1336377351190593,(0.3636401984139378+0.01665315582968363j),(6268.812662470625+1.4967565358895039j),(0.9899472959187707-0.14167651083375524j)
44035,92750,250,44100,0.0187534168968217,-3.136652886876236,1001.64525042392,21.336177888693037,0.0008239869910374,(-0.018753188093456264-9.263712780700414e-05j),(6293.522720469791+134.05915942160604j),(0.9928477262494796-0.14265935767203833j)
44434,93500,250,44100,0.2798299410257493,-2.328654923281419,1004.1616842872728,-2.8758324161459314,0.0708335366371578,(-0.19234606305338325-0.2032431743560857j),(6309.333940746499-18.069387983038887j),(0.9893776373533014-0.14252281573100217j)
45098,94500,250,44100,0.2847663405618505,-0.9374090072050376,1003.3475343265566,-0.0478720059073362,0.0809543040201925,(0.16854705178226936-0.22952943177835133j),(6304.218485675486-0.3007886841421895j),(0.9897928860174547-0.14246544027276772j)
46592,97000,250,44100,0.3688890833638275,1.0472234446722146,994.1584450331642,-3.1081314412386014,0.1221210803617633,(0.18443626950088943+0.3194720931749754j),(6246.4817348408815-19.528965804373293j),(0.9895470072449539-0.14110792024805777j)
47186,98000,250,44100,0.2733752272635453,-1.661108860031174,982.3092983994532,-1.1388999044775516,0.071794324395265,(-0.0246556606624286-0.2722611123144365j),(6172.031350809332-7.155919146161587j),(0.9900615584036978-0.13947627663991638j)
47553,98500,250,44100,0.2743148797531358,-2.596456098004148,987.538612130388,1.7931293480649713,0.0802455829556632,(-0.23455471821504525-0.14224182724163134j),(6204.888098010174+11.266563973634337j),(0.9903710012162305-0.14027246982960825j)
47703,98750,250,44100,0.2876379501030625,-0.0829417318497079,991.8777818742464,0.9444995110676244,0.085570963303347,(0.286649138844894-0.023829845550748935j),(6232.1519055901435+5.9344654505784j),(0.9901643644593006-0.14086768376949932j)
47999,99250,250,44100,0.2946199728498207,-1.6969828625386805,995.0642259285358,2.521293110170566,0.0950504442245043,(-0.03707849023851163-0.2922774605809721j),(6252.1729240542045+15.841751824916821j),(0.99032276570303-0.14134894647572724j)
48307,99750,250,44100,0.000577413488326,-0.8295106798213807,500.4963684406635,10.13995286349216,4.882067443888758e-07,(0.00038989081533162084-0.0004259007966896331j),(3144.7114284831177+63.71120284738751j),(0.9989006838150195-0.07135123796482376j)
48467,100000,250,44100,0.3628636657084366,-1.2935002373457498,997.486066065953,1.2510155051525829,0.1376909437661926,(0.09933611784565473-0.34900197074331574j),(6267.389794421962+7.8603622410285565j),(0.9900947263528672-0.14166501123295694j)
48779,100500,250,44100,0.3989445625502702,3.0316418793567466,997.58984225498,0.0311852515363911,0.1593329761989978,(-0.3965355360779927+0.04377593649215733j),(6268.041839448091+0.19594271425415216j),(0.9899205720977526-0.14165502909546504j)
49561,101750,250,44100,0.3673963841370201,0.9992085745903172,1001.6094485491988,0.115212490337571,0.1355333213748048,(0.19874972317807027+0.30899619838049347j),(6293.297770656573+0.7239014264925965j),(0.989851134656164-0.14222363290072818j)
50035,102500,250,44100,0.3713570046488099,0.7952711825088675,1000.209784483058,0.1824582889796117,0.1388025601686804,(0.25998375354828734+0.2651687628524137j),(6284.503421961211+1.1464192404898237j),(0.9898889609588981-0.1420275963522574j)
50410,103250,250,44100,0.0004986404327791,2.9317723692317577,495.8735644716004,-39.555358087490745,8.34361051887016e-08,(-0.0004877044315320222+0.00010385888823903901j),(3115.665494506729-248.53364475554906j),(0.9918995126527218-0.07019454081371579j)
50992,104250,250,44100,0.3586825972066977,-2.4559879194699152,986.72922599343,-2.41970772622642,0.1182162344387632,(-0.2776333527673018-0.22709673482929943j),(6199.802574926604-15.203472033094764j),(0.9897928912501943-0.14007415969958073j)
51146,104500,250,44100,0.3340592060943539,0.111621774409079,983.8118378684034,-3.3381382128981056,0.099366086811917,(0.33198027389989493+0.03721089783572494j),(6181.472084724097-20.974140972616098j),(0.9897215109405761-0.13964445864139186j)
51878,105750,250,44100,0.335559114457771,0.7189593095891348,988.2926299412798,-4.052435787329324,0.0978606819315882,(0.25250539386171933+0.22099987639458404j),(6209.625731640921-25.46220499723635j),(0.9895314496855097-0.14026199778579715j)
