Column1,onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z,id,onset_s,similarity,clusterSimilarity,clusters
51069,93250,250,44100,0.1057301585661562,-1.1611390936416188,321.7886498025111,-4.11081350552603,0.00902400056482123,(0.042111787792655675-0.09698177024230314j),(2021.8577164562948-25.829003018476563j),(0.9983643002272624-0.04580421898210852j),358,2.114512471655329,-0.0004947395020431642,1,5
51304,93500,250,44100,0.0967298304921642,0.4509471497442953,350.1391747985366,0.2565667490271603,0.008787529823089649,(0.08706020600206793+0.04215662033323272j),(2199.98931856215+1.612056427798286j),(0.9987924423845492-0.049867512902614146j),359,2.120181405895692,-3.903031068237868e-8,1,5
51475,93750,250,44100,0.0611640518020441,0.4966403956450423,327.3544610844571,12.481033652665303,0.005601311573133314,(0.053774717891956605+0.029143111509988436j),(2056.8287401255525+78.42064726484061j),(1.0006904398442478-0.04670618123294013j),360,2.1258503401360542,-0.00048660711421136824,1,5
51645,94000,250,44100,0.0899569509370587,1.0773169733279595,318.3027218335768,2.667168078974227,0.008290928247952918,(0.042611976268628525+0.07922419138353023j),(1999.9549850600008+16.758311285589265j),(0.999351532920508-0.04535214052942526j),361,2.131519274376417,2.153603986447107e-6,1,5
51709,94250,250,44100,0.0883584728677052,1.154947796584224,322.8249422739065,-34.5594966073072,0.002712906386435858,(0.0356938443849775+0.08082802237178643j),(2028.3689340865076-217.14372130655534j),(0.994035830632092-0.045752707979062335j),362,2.13718820861678,-0.0009905994210159164,1,5
51915,94500,250,44100,0.1083128443512821,3.0043793030111394,341.6165394911118,-2.1296181292485543,0.010133318722864914,(-0.1072948128730614+0.014815376539251867j),(2146.4400216200884-13.380785339597793j),(0.998512732831875-0.048638134466366736j),363,2.142857142857143,6.076503442783905e-5,1,5
52436,95250,250,44100,0.1245262756102676,-1.0074496135813076,334.6090371978607,-3.4037699891499007,0.01282122770379407,(0.06649936451599908-0.1052835591929368j),(2102.410586171106-21.386517584845475j),(0.9983795373139681-0.04763254757997818j),365,2.1598639455782314,2.1758407945707987e-5,1,5
52616,95500,250,44100,0.0939825898199831,-0.4166762286173869,332.9354188854249,-14.339176416751853,0.0051602955349343855,(0.08594136393795458-0.03803694459016434j),(2091.8949321805826-90.09570257879126j),(0.9968365537442664-0.04732069782607772j),366,2.165532879818594,0.00011305075309056084,1,5
52858,95750,250,44100,0.103043586232463,0.2773070004526822,325.6796457917197,5.310726626029708,0.012001607313664685,(0.09910692742066651+0.028209884808020676j),(2046.305565285985+33.36827950711728j),(0.9996797660876985-0.04641994775975966j),367,2.171201814058957,-0.0010925464446803524,1,5
53025,96000,250,44100,0.1265348960209766,1.1766392397805634,328.36949651188866,2.490901185422594,0.016298779936789635,(0.048593201991040946+0.11683227564032665j),(2063.2063958094573+15.650793729883457j),(0.9992603622033007-0.04678426072017365j),368,2.17687074829932,2.59067534256914e-5,1,5
53110,96250,250,44100,0.126365848100815,1.968763988284547,332.5742177310227,-7.981093076723082,0.01134784695052201,(-0.04897253242024906+0.11649042293075394j),(2089.6254383943065-50.146686754899186j),(0.9977424066906516-0.04731223760782151j),369,2.1825396825396823,0.0024777130989498217,1,5
53366,96500,250,44100,0.1024912796848857,2.670536918562316,333.67145449420497,0.5094072700059532,0.009954813998003034,(-0.09132891992698566+0.04651333998344688j),(2096.5195803032307+3.2007002742718695j),(0.9989426798651456-0.0475256704800211j),370,2.188208616780045,-4.329785389985427e-5,1,5
53531,96750,250,44100,0.1099889393281327,-2.8919942804814105,325.7635189087015,2.930946523873904,0.012515014091584202,(-0.1065805699205594-0.02716889563336026j),(2046.8325556222724+18.415680134933595j),(0.9993403163159241-0.046416153238477975j),371,2.193877551020408,5.993236220786369e-5,1,5
53622,97000,250,44100,0.1259338054487037,-2.0129243882240013,331.0279933572719,-8.926782782874863,0.010935225208910132,(-0.05388252489289197-0.11382441243405927j),(2079.9102241275523-56.088630421743034j),(0.9976183792355775-0.047086089454615405j),372,2.199546485260771,-0.0030589505755736165,1,5
53810,97250,250,44100,0.0981438280145034,-1.0431055225076902,342.17450909619305,-0.2062910263233677,0.008898943425004018,(0.049419304365974-0.0847935335584245j),(2149.945848044588-1.2961647455979817j),(0.9987825196393829-0.0487308650531829j),373,2.2052154195011338,6.125534449248346e-7,1,5
54037,97500,250,44100,0.0808025347505533,-0.6329369498852779,328.5889192572922,4.323639168797515,0.007111604148389527,(0.06515057772585814-0.04779593961939963j),(2064.585069579438+27.1662260989347j),(0.9995198605928975-0.04682772612058081j),374,2.2108843537414966,-1.6494016939684506e-6,1,5
54192,97750,250,44100,0.0801906783809236,-2.964043639055729,635.634095748248,7.744223914774219,0.007977105116880868,(-0.07893004371599587-0.014163089288135863j),(3993.806811147774+48.65839391681815j),(0.9970014674241012-0.0905386130742939j),375,2.2165532879818595,0.0003832275000330765,1,-1
54287,98000,250,44100,0.1008184617577948,-0.6303525502118273,669.3513430373241,-1.1563053061868565,0.00908185071522009,(0.08144314507582279-0.05942538473890116j),(4205.658523913038-7.26528051044705j),(0.9952920861654226-0.09520623043228936j),376,2.2222222222222223,-3.613129710228652e-5,1,6
54460,98250,250,44100,0.0884838293736629,0.6993521340648505,658.5468635551031,-3.1638970824503474,0.006526595172945857,(0.06771308159538117+0.0569589908748807j),(4137.771977178623-19.87935166188038j),(0.9951527775659297-0.09364719795880151j),377,2.227891156462585,1.457085953824003e-5,1,6
54637,98500,250,44100,0.0799410423886816,2.3499718946032773,663.9549862105832,6.860970754259353,0.0076621272444182395,(-0.05617401731491242+0.05687750026937645j),(4171.752213986962+43.10875063615121j),(0.9965026148167208-0.09454891004671002j),378,2.233560090702948,5.8567606880958806e-8,1,6
54722,98750,250,44100,0.0407786773576142,-2.218011563185687,327.94627198093644,-46.47119518720825,0.0004534017816693819,(-0.024588203145536454-0.032531842756140184j),(2060.54719765494-291.9871308073416j),(0.9923166621124876-0.04639919742132988j),379,2.2392290249433104,0.0006004920078557392,1,5
54863,99000,250,44100,0.0748278136900802,-0.9248718245585916,662.1490808650742,0.3712911524807868,0.005280150146771918,(0.04504162602312079-0.05975327293823071j),(4160.405376053902+2.3328911139530555j),(0.9956059235496258-0.09420536418080808j),380,2.2448979591836733,6.072447982347865e-6,1,6
54960,99250,250,44100,0.0702007601198471,0.664008776064435,668.0371926940381,4.246389975661742,0.005352421875364581,(0.05528506718007657+0.04326324153711494j),(4197.401473784678+26.68085510363254j),(0.9960763329919805-0.0950930456057125j),381,2.250566893424036,3.240039470663593e-6,1,6
55015,99500,250,44100,0.0727128119910943,1.253000603687182,990.4968180143104,-1.258613847468889,0.004707198346987143,(0.02272082106973519+0.06907182723491044j),(6223.475053755647-7.908104033829292j),(0.9898812985042539-0.14062871329424997j),382,2.256235827664399,1.041319035411517e-5,1,-1
55204,99750,250,44100,0.0598012731225002,-2.6932215688813432,997.8333667555626,1.9936015266726688,0.003575103392551251,(-0.053890182160611894-0.025923744593864928j),(6269.57194901209+12.526167820760504j),(0.9901924726740149-0.14172899710750197j),383,2.261904761904762,3.945665539166179e-8,1,-1
