onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z,id,onset_s,dynamicResonance
5500,250,44100,0.15479263896783552,-0.19579139153303562,438.2238106843673,0.6765682577517209,0.027016420559336687,(0.15183517346319822-0.030113803778785173j),(2753.4414085482654+4.251003736409704j),(0.9981476979685369-0.06240177008913217j),2529,0.12471655328798185,1
5750,250,44100,0.08758204703114286,0.6597832217340361,878.182909910245,-2.714859975896436,0.007679614401341131,(0.06920077571305709+0.053683029002436954j),(5517.785956564266-17.057968311602412j),(0.9917990121712092-0.12474539913593281j),2583,0.13038548752834467,2
5750,250,44100,0.152850736157012,3.0480689399165626,439.7181984098854,-0.24571441487765175,0.025492706483408466,(-0.1521827546332882+0.01427433837222925j),(2762.8309235484703-1.5438692013214905j),(0.9980032398724927-0.06260606129839691j),2587,0.13038548752834467,1
6000,250,44100,0.08913403062130325,0.7088419121875054,874.4102619196507,-0.22507788547556312,0.008675310494799901,(0.0676630908963855+0.05802225043159649j),(5494.081710140603-1.4142060629911077j),(0.992217831768188-0.1242563481216908j),2728,0.1360544217687075,2
6000,250,44100,0.15065599758795392,-0.04231864119327833,439.00448378299956,0.24310698182813462,0.025199098282764315,(0.15052111526267473-0.006373654313042306j),(2758.346522291302+1.52748621629531j),(0.9980791099878856-0.06250893021463118j),2807,0.1360544217687075,1
6250,250,44100,0.0800213624215165,0.9479787893618336,876.2467423574669,0.3673572787720103,0.007140775045127324,(0.04667853999504699+0.06499640257526944j),(5505.620657044413+2.3081738564657703j),(0.9922690372378811-0.12452647230415094j),2932,0.1417233560090703,2
6250,250,44100,0.1508163823030301,-3.1039938225564336,437.70436408616285,0.621235952321608,0.025595588833222105,(-0.15070979240527707-0.005669183727135752j),(2750.1776293145626+3.903340607918845j),(0.9981444445822074-0.06232740704402868j),2936,0.1417233560090703,1
6500,250,44100,0.0354332119122782,-0.37439922985315366,420.5886387973195,-2.252153932589439,0.0012771689685111118,(0.03297866472515133-0.012958401883198122j),(2642.63635565798-14.150700498752688j),(0.9978848604338497-0.05986865685007691j),3012,0.1473922902494331,1
6500,250,44100,0.08127113199208996,1.1698617867185988,875.0982347872573,0.9096278518249282,0.007509734259404154,(0.031718411290584794+0.07482606016941565j),(5498.404371154087+5.715360353587719j),(0.9923660684946843-0.12437370988945287j),3067,0.1473922902494331,2
6500,250,44100,0.1263269924261024,0.2982785316877579,443.7812088969858,1.3274098978481466,0.018419038239830633,(0.12074887273561669+0.037124368661330516j),(2788.359571343936+8.34036236676423j),(0.9981905328091439-0.06319793890051134j),3071,0.1473922902494331,1
6750,250,44100,0.16391450664762194,-2.914967791762927,439.4732798235411,-0.008039689643248756,0.029564601662570602,(-0.15972326244489427-0.03682994601533822j),(2761.292054685296-0.05051485984074447j),(0.9980392198427804-0.06257335483166586j),3133,0.15306122448979592,1
6750,250,44100,0.08417909443639159,1.4039255093808678,875.9446841284933,0.28484964227367887,0.007878904045341622,(0.013981933022857895+0.08300979152530892j),(5503.722769218213+1.7897630870893404j),(0.9922627309803627-0.12448230555226629j),3206,0.15306122448979592,2
7000,250,44100,0.08508570698366963,1.6158427930830277,877.3744256058754,0.278887315279075,0.00804782203974223,(-0.0038315143164045417+0.08499939429757175j),(5512.706099861965+1.7523006817202451j),(0.9922365100013669-0.12468432458315355j),3346,0.15873015873015872,2
7000,250,44100,0.163954956884087,0.28450005507822995,438.8407487219803,1.2600685952360788,0.030950680087008478,(0.15736431126042097+0.04601849007079847j),(2757.317744561635+7.917244483625751j),(0.9982251927866782-0.06249470107163257j),3348,0.15873015873015872,1
7250,250,44100,0.08873993245100253,1.7609718080458974,876.4643566793475,1.2051099170120347,0.009048989403252477,(-0.0167746172856784+0.08714004720177464j),(5506.987968154284+7.571928924106428j),(0.9923836192131255-0.12457210531453636j),3482,0.16439909297052155,2
7250,250,44100,0.17302513919942075,-2.7831626813831987,437.7356599707814,0.9885855807068099,0.034135058339409295,(-0.1620291753739909-0.060697982854485626j),(2750.374267156973+6.211466395586627j),(0.998196409349039-0.06233512011604221j),3486,0.16439909297052155,1
7500,250,44100,0.09427390306087967,1.9589025254280021,878.3657322437723,0.6618787834091326,0.010015717015592606,(-0.03567665201091929+0.08726250798380657j),(5518.934663164108+4.158707047050162j),(0.9922730339549866-0.12483127559518244j),3628,0.17006802721088435,2
7500,250,44100,0.18015916788402891,0.47641510640446433,437.6427384631467,1.2431890895290796,0.03734821772292002,(0.16009748048280684+0.08262035170418368j),(2749.7904241054816+7.81118742137508j),(0.998233444635564-0.06232416567593853j),3630,0.17006802721088435,1
7750,250,44100,0.09662833219335602,2.0867171856314304,876.4327181463037,0.07900700187347334,0.010305947702421185,(-0.047670240382954046+0.08405107235663886j),(5506.789177388323+0.49641563333571775j),(0.9922249729349566-0.12454764758235415j),3768,0.17573696145124718,2
7750,250,44100,0.18842470260669344,-2.547908776345498,437.6448224545733,0.29584873104392556,0.039491446511524975,(-0.15618250000795494-0.1054082313848687j),(2749.8035182097933+1.8588724000429182j),(0.9980987005329655-0.062316050509853414j),3772,0.17573696145124718,1
8000,250,44100,0.09600886656805777,2.2996004287399177,877.9155053683172,-0.07772173513967959,0.010117818302653105,(-0.06393979348925788+0.07161986643546729j),(5516.105804275352-0.48834006427813814j),(0.99217648307606-0.12475447781291028j),3831,0.18140589569160998,2
8000,250,44100,0.19007742830155716,0.729493848453545,438.39270437502137,0.38570017893967873,0.04031609371882215,(0.14170497407104637+0.12668515727289315j),(2754.502598903858+2.4234256972903268j),(0.9981048320916578-0.06242320179609441j),3912,0.18140589569160998,1
8250,250,44100,0.09493969861995642,2.427075645232312,874.95808992963,1.0162000299392338,0.01028746754878157,(-0.07171837977739512+0.06220948783066355j),(5497.523815043766+6.384973097269649j),(0.9923836199001205-0.12435578323381574j),4047,0.1870748299319728,2
8250,250,44100,0.19504499997678817,-2.3215642702133272,437.6404584055572,0.7223709074010752,0.042964367141596335,(-0.13305978765659077-0.14261011508560067j),(2749.776098081136+4.5387902717164215j),(0.9981593946969031-0.062319216888840775j),4049,0.1870748299319728,1
8500,250,44100,0.09825690657940611,2.6552567421181776,875.1638554838739,-0.22648793076768933,0.010541500747547615,(-0.08686415059162539+0.045924274981207554j),(5498.816678150915-1.423065638853053j),(0.9922042854516739-0.12436285574745401j),4136,0.1927437641723356,2
8500,250,44100,0.2022424862548132,0.9395866011308726,437.37164833923583,0.17164793913487347,0.045295309551751414,(0.11934770371206051+0.16327323376838754j),(2748.0871146220034+1.0784958091798929j),(0.9980834633060359-0.062276101722698075j),4189,0.1927437641723356,1
