onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z,id,onset_s,dynamicResonance
6250,250,44100,0.06343240317931749,-1.3943439741139727,430.13176623385317,-1.6793607473142373,0.022572931260363416,(0.011134805035498012-0.062447465040023326j),(2702.5975937517505-10.551734772978946j),(0.9978839699260373-0.06123038723289122j),4354,0.1417233560090703,1
6250,250,44100,0.22546833929938523,-2.683773873359442,215.2392250808696,0.7785513951686103,0.3110305988127374,(-0.20224931966748094-0.09965532961394388j),(1352.3879365568398+4.89178268700758j),(0.9996407017882426-0.03066498807611775j),4487,0.1417233560090703,-1
6500,250,44100,0.0075777747764110195,1.8320325150424093,225.97218396671397,34.34239541163474,0.0014660578357217665,(-0.001957149743179101+0.007320671789172429j),(1419.8251061309397+215.77963426373503j),(1.0043841774685138-0.032347909349716944j),4733,0.1473922902494331,1
6500,250,44100,0.05981387722853613,2.27944702604302,429.1703402852822,1.3610425682215364,0.02235243877305307,(-0.03892746463690394+0.04541313032651444j),(2696.5567763577483+8.551682667095527j),(0.9983247126093213-0.06112016707532564j),4737,0.1473922902494331,1
6500,250,44100,0.22596419346029128,2.230237973438618,214.5949081933777,0.503832178629594,0.30934722167801915,(-0.138442761728517+0.17858728524489367j),(1348.339574156183+3.1656709420497458j),(0.999604386472884-0.030572024690916272j),4739,0.1473922902494331,-1
6750,250,44100,0.006602440080583634,-0.8998346182595632,875.380489945934,24.26936986214452,0.0006929722305515895,(0.004104997845564147-0.005171190163358038j),(5500.17783261996+152.4889481323335j),(0.9956693436848099-0.1248283804741476j),5021,0.15306122448979592,3
6750,250,44100,0.009676365853664654,2.864781148933268,672.8499118352433,24.676073720140593,0.0015161398890212164,(-0.009308003154467117+0.0026444533292152225j),(4227.640679980281+155.0443438372677j),(0.9989142427422223-0.09605521396157997j),5027,0.15306122448979592,1
6750,250,44100,0.007846468907544485,-0.789712842506311,614.726751956144,21.363483964166054,0.0008594347641947069,(0.005524300705613916-0.005572178750813359j),(3862.4420958210735+134.23072855381486j),(0.9992037301690937-0.08773844003714144j),5031,0.15306122448979592,1
6750,250,44100,0.010005940228446022,0.28922477422501625,482.0703921180124,23.258350421130512,0.0015206543171215217,(0.009590346153487339+0.0028537870473328984j),(3028.9376047821975+146.13652563528137j),(1.0009536468208937-0.06885720201242439j),5037,0.15306122448979592,1
6750,250,44100,0.00931051790968265,-1.6710199858594699,329.1734951893077,26.619094645249916,0.001534189876368382,(-0.0009315727689008834-0.009263795978040735j),(2068.2580684864083+167.25270436545708j),(1.002696031661277-0.04706022657232478j),5039,0.15306122448979592,1
6750,250,44100,0.018953042928059084,2.193036203454033,270.95504929450755,22.989981545406334,0.00539071561761713,(-0.011046907844330683+0.015400768270177813j),(1702.4607846333702+144.4503142584269j),(1.0025333800146738-0.03872159059786695j),5041,0.15306122448979592,1
6750,250,44100,0.019520247983336528,0.9993477570138689,399.0461629567891,15.88404267753426,0.004199599123027356,(0.010557546314491545+0.016418839701645174j),(2507.280987976488+99.80238357009677j),(1.0006462159274432-0.05695256266314061j),5043,0.15306122448979592,1
6750,250,44100,0.05833181740455831,-0.9399123978851095,438.5176596516122,1.8586521182796314,0.021644417604692903,(0.034407533865773526-0.04710331766441064j),(2755.287716061788+11.678255680732795j),(0.9983132047237167-0.062454076399407706j),5045,0.15306122448979592,1
6750,250,44100,0.21762910710356664,0.4627717034201406,220.21015705445842,4.979562586716017,0.3380733552992963,(0.19473856526120872+0.09715616016857416j),(1383.6212232962823+31.287514481035252j),(1.0002172265368523-0.03139174733043113j),5049,0.15306122448979592,-1
6750,250,44100,0.07130409193928763,1.760032394062955,203.4952501677184,0.274230846813901,0.030552161906874983,(-0.013412916813794806+0.07003118726562191j),(1278.5983659346425+1.7230432274765184j),(0.9996187833888989-0.028990231101274553j),5051,0.15306122448979592,-1
7000,250,44100,0.020678015676619855,-0.6214431625000533,378.8254180722795,-12.531323956875783,0.0016859766595797253,(0.016812034867982224-0.01203892918495189j),(2380.2303008179106-78.73663056534947j),(0.996762564893392-0.053851042546646785j),5134,0.15873015873015872,1
7000,250,44100,0.033541051610703025,-0.5777966374968,315.44761165441605,-5.452923814803499,0.00555196765691646,(0.028096269440963047-0.018319437400003587j),(1982.015798731919-34.261730794343j),(0.9982143792442277-0.04489364802136859j),5136,0.15873015873015872,1
7000,250,44100,0.05029525715120948,-0.9642063103866609,264.3196384173539,-6.8914202499955195,0.01190720269022168,(0.028671774421827535-0.04132241816992472j),(1660.7692685029388-43.30007046037172j),(0.9983102940481926-0.03761331707893388j),5138,0.15873015873015872,1
7000,250,44100,0.23233247305779703,-0.9484688048511801,220.27513436947248,-2.6548673899936874,0.29278154371341936,(0.13543308177310545-0.1887756827522849j),(1384.0294878072787-16.681023777318554j),(0.9991295694401469-0.031366870043115544j),5140,0.15873015873015872,-1
7000,250,44100,0.008663279718691491,1.910524470188951,1091.7027510610992,18.821171581267137,0.0009375274717008965,(-0.0028868715077190743+0.00816813249049078j),(6859.370685274632+118.25690874332365j),(0.9905805677676329-0.15533084424625687j),5443,0.15873015873015872,4
7000,250,44100,0.015123977853832694,-0.8192628051265208,868.5160889850531,22.569143986830817,0.00336859431491164,(0.010326047404078897-0.0110502240308483j),(5457.047529359964+141.8061138936759j),(0.9955497587441352-0.12382454591691064j),5451,0.15873015873015872,3
7000,250,44100,0.014186803563138688,-1.5822204565737632,691.6528097138481,21.142857664830263,0.002782302086051215,(-0.000162068359721948-0.014185877808082994j),(4345.782771663528+132.8444926314508j),(0.9981507369952589-0.0986812279342946j),5455,0.15873015873015872,1
7000,250,44100,0.021322501450563323,-2.7901890705851846,653.3548078049866,21.115249639290802,0.006277443545307406,(-0.020019494094382778-0.007339545238926462j),(4105.149328775435+132.67102629102104j),(0.9986704048492173-0.09323296909874428j),5457,0.15873015873015872,1
7000,250,44100,0.033864567773747974,0.9900430985576768,468.2282225708128,16.32229249204669,0.012875053404534055,(0.018579924761533733+0.02831245920718501j),(2941.964688463744+102.55598836551543j),(1.0000986917640848-0.06681695111370861j),5459,0.15873015873015872,1
