onset,duration,sample_rate,amplitude,phase,frequency,decay,d,w,z
4250,160,44100,4.574480156464154e-06,-1.914879024697095,-13867.994109774512,139.70236547116292,(-1.5431244164963566e-06-4.306348306523416e-06j),(-87135.17683058826+877.7758501066436j),(-0.40199436598430505+0.9375563627883229j)
4250,160,44100,4.574480156464154e-06,1.914879024697095,13867.994109774512,139.70236547116292,(-1.5431244164963566e-06+4.306348306523416e-06j),(87135.17683058826+877.7758501066436j),(-0.40199436598430505-0.9375563627883229j)
4250,160,44100,3.892666753589206e-06,2.859420246587381,-13656.94215268511,147.59084497658804,(-3.7387227376757096e-06+1.083885024015635e-06j),(-85809.09827475263+927.340628631118j),(-0.3740449069815272+0.9502860441620345j)
4250,160,44100,3.892666753589206e-06,-2.859420246587381,13656.94215268511,147.59084497658804,(-3.7387227376757096e-06-1.083885024015635e-06j),(85809.09827475263+927.340628631118j),(-0.3740449069815272-0.9502860441620345j)
4250,160,44100,2.3838271962513184e-06,1.517644751101196,-13443.872846350238,165.4276610108726,(1.2664452164068536e-07+2.3804607257263926e-06j),(-84470.34433977841+1039.4126490646001j),(-0.3459068867484871+0.9636472510608631j)
4250,160,44100,2.3838271962513184e-06,-1.517644751101196,13443.872846350238,165.4276610108726,(1.2664452164068536e-07-2.3804607257263926e-06j),(84470.34433977841+1039.4126490646001j),(-0.3459068867484871-0.9636472510608631j)
4250,160,44100,2.3246929986835973e-06,-0.2960904863320991,-13244.368394208395,170.24962627852173,(2.2235328801405937e-06-6.783060290622592e-07j),(-83216.82089736388+1069.7099503860234j),(-0.31859839530962214+0.9737576698252113j)
4250,160,44100,2.3246929986835973e-06,0.2960904863320991,13244.368394208395,170.24962627852173,(2.2235328801405937e-06+6.783060290622592e-07j),(83216.82089736388+1069.7099503860234j),(-0.31859839530962214-0.9737576698252113j)
4250,160,44100,1.7814411148420203e-06,-1.9023095928884057,-13039.817618863131,179.66748728181528,(-5.798132475144737e-07-1.6844432444152876e-06j),(-81931.59047114232+1128.884116266977j),(-0.2904778762705414+0.9839473360316316j)
4250,160,44100,1.7814411148420203e-06,1.9023095928884057,13039.817618863131,179.66748728181528,(-5.798132475144737e-07+1.6844432444152876e-06j),(81931.59047114232+1128.884116266977j),(-0.2904778762705414-0.9839473360316316j)
4250,160,44100,2.1490998432355703e-06,2.6986892083547636,-12836.254941120145,175.90928942796177,(-1.9417356912952274e-06+9.210280350485533e-07j),(-80652.56844525746+1105.2706627301707j),(-0.261682364795487+0.9914260137140622j)
4250,160,44100,2.1490998432355703e-06,-2.6986892083547636,12836.254941120145,175.90928942796177,(-1.9417356912952274e-06-9.210280350485533e-07j),(80652.56844525746+1105.2706627301707j),(-0.261682364795487-0.9914260137140622j)
4250,160,44100,2.536828339763326e-06,1.6061105250170722,-12612.757397953064,174.7466490270632,(-8.956743965528213e-08+2.535246674227175e-06j),(-79248.29196583932+1097.9655776457114j),(-0.22994696496168515+0.999089248086589j)
4250,160,44100,2.536828339763326e-06,-1.6061105250170722,12612.757397953064,174.7466490270632,(-8.956743965528213e-08-2.535246674227175e-06j),(79248.29196583932+1097.9655776457114j),(-0.22994696496168515-0.999089248086589j)
4250,160,44100,1.0309518531237935e-06,0.42249337348477684,-12395.151314467857,209.18021943950782,(9.402996421992951e-07+4.227272245068461e-07j),(-77881.03261933218+1314.3180813349172j),(-0.19984406844819705+1.0106833786871023j)
4250,160,44100,1.0309518531237935e-06,-0.42249337348477684,12395.151314467857,209.18021943950782,(9.402996421992951e-07-4.227272245068461e-07j),(77881.03261933218+1314.3180813349172j),(-0.19984406844819705-1.0106833786871023j)
4250,160,44100,1.432163838339734e-06,2.0500261655823757,-12035.65177895405,201.8421310573871,(-6.603648876954291e-07+1.2708310174633776e-06j),(-75622.23041985394+1268.211512229591j),(-0.14768292302646294+1.0185240250459144j)
4250,160,44100,1.432163838339734e-06,-2.0500261655823757,12035.65177895405,201.8421310573871,(-6.603648876954291e-07-1.2708310174633776e-06j),(75622.23041985394+1268.211512229591j),(-0.14768292302646294-1.0185240250459144j)
4250,160,44100,1.6984728108560748e-06,1.1020560068069936,-11806.051455968713,197.69033628826486,(7.673068932312112e-07+1.5152722596342883e-06j),(-74179.60904394877+1242.1250163378172j),(-0.11422379689343244+1.0222044808048503j)
4250,160,44100,1.6984728108560748e-06,-1.1020560068069936,11806.051455968713,197.69033628826486,(7.673068932312112e-07-1.5152722596342883e-06j),(74179.60904394877+1242.1250163378172j),(-0.11422379689343244-1.0222044808048503j)
4250,160,44100,6.905458302970396e-07,0.9926994903657175,-11558.56553120577,247.330847804542,(3.773356624263298e-07+5.783349735247825e-07j),(-72624.6091177445+1554.0255489377687j),(-0.07867099138792386+1.0328751809668038j)
4250,160,44100,6.905458302970396e-07,-0.9926994903657175,11558.56553120577,247.330847804542,(3.773356624263298e-07-5.783349735247825e-07j),(72624.6091177445+1554.0255489377687j),(-0.07867099138792386-1.0328751809668038j)
4250,160,44100,8.054375027205202e-07,1.0778057421817597,-11256.793817221544,227.67526453888604,(3.8118334258522203e-07+7.095271877273099e-07j),(-70728.52151831641+1430.5258769589543j),(-0.034107659851608005+1.0324068287478456j)
4250,160,44100,8.054375027205202e-07,-1.0778057421817597,11256.793817221544,227.67526453888604,(3.8118334258522203e-07-7.095271877273099e-07j),(70728.52151831641+1430.5258769589543j),(-0.034107659851608005-1.0324068287478456j)
4250,160,44100,1.0007006731832617e-06,-1.3250617767503012,-11074.270873142974,216.33205164588549,(2.434393256786372e-07-9.706385176895483e-07j),(-69581.69603785878+1359.2543683734432j),(-0.007239587743482733+1.0312766025551294j)
