Id,Level
ResonanceId(802),1
PairId(402),2
ResonanceId(803),1
ResonanceId(804),1
PairId(403),2
ResonanceId(805),1
ResonanceId(806),1
PairId(404),2
ResonanceId(807),1
ResonanceId(808),1
PairId(405),2
ResonanceId(809),1
ResonanceId(810),1
PairId(406),2
ResonanceId(811),1
ResonanceId(812),1
PairId(407),2
ResonanceId(813),1
ResonanceId(814),1
PairId(408),2
ResonanceId(815),1
ResonanceId(816),1
PairId(409),2
ResonanceId(817),1
ResonanceId(818),1
PairId(410),2
ResonanceId(819),1
ResonanceId(820),1
PairId(411),2
ResonanceId(821),1
ResonanceId(822),1
PairId(412),2
ResonanceId(823),1
ResonanceId(824),1
PairId(413),2
ResonanceId(825),1
ResonanceId(826),1
PairId(414),2
ResonanceId(827),1
ResonanceId(828),1
PairId(415),2
ResonanceId(829),1
ResonanceId(830),1
PairId(416),2
ResonanceId(831),1
ResonanceId(832),1
PairId(417),2
ResonanceId(833),1
ResonanceId(834),1
PairId(418),2
ResonanceId(835),1
ResonanceId(836),1
PairId(419),2
ResonanceId(837),1
ResonanceId(838),1
PairId(420),2
ResonanceId(839),1
ResonanceId(840),1
PairId(421),2
ResonanceId(841),1
ResonanceId(842),1
PairId(422),2
ResonanceId(843),1
ResonanceId(844),1
PairId(423),2
ResonanceId(845),1
ResonanceId(846),1
PairId(424),2
ResonanceId(847),1
ResonanceId(848),1
PairId(425),2
ResonanceId(849),1
ResonanceId(850),1
PairId(426),2
ResonanceId(851),1
ResonanceId(852),1
PairId(427),2
ResonanceId(853),1
ResonanceId(854),1
PairId(428),2
ResonanceId(855),1
ResonanceId(856),1
PairId(429),2
ResonanceId(857),1
ResonanceId(858),1
PairId(430),2
ResonanceId(859),1
ResonanceId(860),1
PairId(431),2
ResonanceId(861),1
ResonanceId(862),1
PairId(432),2
ResonanceId(863),1
ResonanceId(864),1
PairId(433),2
ResonanceId(865),1
ResonanceId(866),1
PairId(434),2
ResonanceId(867),1
ResonanceId(868),1
