,onset,duration,cluster,sample_rate,amplitude,phase,frequency,decay,power,d,w,z
59098,75750,250,1,44100,0.0361024957797289,1.304171766040109,1327.203099008218,-0.4331687713949241,0.0012835646436303,(0.009512169094187093+0.03482684080775825j),(8339.06301133165-2.72167965995762j),(0.982114249031168-0.18795791359572644j)
59104,75750,250,2,44100,0.1462375865680484,2.1314736234822025,885.2500124122253,-0.2148584591426346,0.0212232497562484,(-0.07776328720591541+0.12384790223567686j),(5562.18987116904-1.3499955136082478j),(0.9920261911011165-0.1257887664191366j)
59108,75750,250,0,44100,0.2106955728885703,0.0550108106282223,442.69324101857177,-0.0546653020059824,0.0443066437779608,(0.210376850934175+0.011584689286415019j),(2781.5236675556016-0.3434722223765238j),(0.998003778458014-0.06303079670535115j)
59282,76000,250,3,44100,0.0335634747063428,2.579102743989335,1769.7785415603832,-2.2074728309286296,0.0010427258830419,(-0.028392346144986036+0.01789920430484595j),(11119.846529293916-13.869960857288891j),(0.9680735676034407-0.24940878559708796j)
59369,76000,250,2,44100,0.1451903784675586,2.016949592953058,884.7614348915848,0.9635958453213418,0.0218176159811763,(-0.06264943693264001+0.1309782197602948j),(5559.120048069934+6.054451257382348j),(0.9922015228449372-0.12574082094758532j)
59372,76000,250,0,44100,0.2104910155318218,3.1359844042492617,442.7913834116748,0.0142808975015921,0.0443289224742603,(-0.21048770531030483+0.0011804799108550848j),(2782.140314397958+0.08972952535534115j),(0.9980127006049138-0.06304537101005978j)
59471,76250,250,1,44100,0.0367563281709813,0.9584517348127372,1326.134988367606,-2.123178870558066,0.0012541970992909,(0.021127082534642315+0.030077799856161144j),(8332.351874248114-13.340326284004588j),(0.9819063836687559-0.18776323715957902j)
59477,76250,250,0,44100,0.2137096815208829,-0.0741659431828802,443.1156175532646,-0.3707180631919415,0.0450764048986663,(0.21312218653057213-0.015835453393737202j),(2784.177537592481-2.3292902877536807j),(0.9979550447389148-0.06308801401035968j)
59561,76250,250,2,44100,0.1513787017888799,1.9065657243670708,886.2039184171931,0.5180319943325056,0.0233418697320578,(-0.04987863123387733+0.14292527243815742j),(5568.183439363885+3.2548910154389374j),(0.992112676366323-0.12593673965034194j)
59642,76500,250,1,44100,0.0373441167259614,-2.269990751775539,1323.829724489293,-3.439466402962542,0.0012374780322482,(-0.024034723585051352-0.028581726963786018j),(8317.867474118726-21.610804767632064j),(0.9817838602776865-0.18740557615162096j)
59647,76500,250,0,44100,0.2115192881170547,2.996989010674884,443.12101178907136,-0.0755490137415277,0.0446207097925242,(-0.2093116821932356+0.030479976098802666j),(2784.2114305756454-0.47468845311267605j),(0.997996965596758-0.0630914342076837j)
59744,76500,250,2,44100,0.1539151999454886,1.7640728820028535,886.8999066569186,0.1626816655864515,0.0238271406257995,(-0.029563333836201973+0.15104932329126472j),(5572.556462445697+1.0221590509602951j),(0.9920499557972818-0.12602873758247177j)
59829,76750,250,1,44100,0.0335399621000761,0.8076083490724376,1325.7685679195945,-0.2264184318246154,0.0011159413210585,(0.023183784448453235+0.024237186229473972j),(8330.049586672916-1.4226289641150667j),(0.9821815761222114-0.1877627100544269j)
59839,76750,250,2,44100,0.1558573407971317,1.5949290438989443,886.4460370152775,-0.0685991740713237,0.0242324894453161,(-0.003760896039099163+0.1558119582745058j),(5569.704715381963-0.43102132260959597j),(0.992025413733725-0.12596043523745623j)
59942,76750,250,0,44100,0.2111901504360519,-0.219447879109448,443.2862818694104,0.4044693288544451,0.0452474490220972,(0.20612534383780826-0.04597414783275016j),(2785.2498531161477+2.5413557442630377j),(0.9980637359740278-0.06311925066376138j)
60128,77000,250,1,44100,0.0355638096561871,-2.495147224451633,1326.723429364023,1.0158866112632168,0.0013114850190329,(-0.028388097745442462-0.021421962180358543j),(8336.049158070944+6.383003829649503j),(0.9823298784159206-0.1879295892244625j)
60130,77000,250,2,44100,0.1527722395340371,1.4375843727599107,886.6179654409035,0.7282079590659897,0.0239528537591889,(0.02029095214783736+0.15141873871215344j),(5570.784973539743+4.57546554897466j),(0.9921349544542333-0.12599903883400074j)
60134,77000,250,0,44100,0.2154245380642946,2.835189352186481,443.012927995372,0.1701463695717203,0.046688990702892,(-0.20539105655205014+0.06497880799650964j),(2783.532320071129+1.069061169362981j),(0.9980328732326313-0.06307827377240666j)
60312,77250,250,1,44100,0.036496104203086,0.5335275582669113,1328.051281765618,2.249361037228077,0.0014441556335185,(0.031423817526725295+0.01856096209924448j),(8344.392300770747+14.133152219653688j),(0.9824669509102057-0.18814849218592797j)
60314,77250,250,2,44100,0.1557887061857236,1.290726840248716,886.9656137529826,0.2711836534530173,0.0245051230069884,(0.04306349246868581+0.14971859133528195j),(5572.969312306264+1.703897146923279j),(0.9920641120287405-0.126039973252077j)
60317,77250,250,0,44100,0.2165426565021941,-0.3801853525605672,443.0962502099093,0.4446951632379042,0.0476383385958426,(0.20108061619618534-0.0803573759849689j),(2784.055848985272+2.7941021158302277j),(0.9980711646963883-0.06309258973708796j)
60400,77500,250,1,44100,0.0383363310867396,-2.7695709678221565,1328.9103708725158,-0.5151818599528046,0.0014431382403873,(-0.03571391013103896-0.013935239658656392j),(8349.790116824766-3.2369830929809136j),(0.9820570248592132-0.18819460339026764j)
60410,77500,250,2,44100,0.157633578415536,1.108498174315344,886.1952343439525,-0.4627286842511063,0.0244448714709853,(0.0703055529965464+0.14108676146944749j),(5568.128875722493-2.907410070097093j),(0.9919742092615366-0.1259179158043219j)
60484,77500,250,0,44100,0.2199287478305111,2.6907003623810097,443.0131566073647,0.1683756797307348,0.0486587347079545,(-0.19794876703479056+0.09583809134004476j),(2783.5337564826427+1.0579355969705289j),(0.9980326193938117-0.06307829036659564j)
60553,77750,250,2,44100,0.1552801299846219,0.9625787500225242,886.051536551373,-0.4791850378091998,0.0237066363192372,(0.08872793447540336+0.12743340383027363j),(5567.225995863483-3.0108083889830586j),(0.9919744612109649-0.1258973114441506j)
60555,77750,250,0,44100,0.2223268665353578,-0.5259770433482391,442.644846047045,-0.1759035979378911,0.0491220571597826,(0.19227579368427958-0.1116210318287336j),(2781.219592981563-1.1052349020433827j),(0.9979869741319095-0.06302282671687276j)
60666,77750,250,1,44100,0.0372631967478942,0.153792152094059,1328.6805352576607,0.0815070828569794,0.0013925686970794,(0.03682338958486686+0.00570822313451321j),(8348.346017066442+0.5121241054380425j),(0.982146679399657-0.18817844190277533j)
60725,78000,250,0,44100,0.2207966744541463,2.557720773680247,442.40499409193626,-0.0172837771708598,0.0487212910455381,(-0.18421828352512587+0.1217160444028092j),(2779.7125587013256-0.10859717477251273j),(0.9980116815404558-0.06299014588790836j)
60842,78000,250,1,44100,0.037249101671211,3.0990420075126592,1327.3968826025612,0.6254297002942287,0.0014187428129761,(-0.03721538593883775+0.001584495104308393j),(8340.280589564398+3.92969070356243j),(0.9822571967355825-0.1880133841200217j)
60848,78000,250,2,44100,0.1504418718787931,0.8174393386853918,885.4988641851776,0.0579489164176784,0.0226793497446793,(0.10291595847138443+0.10973177436964873j),(5563.75345297252+0.36410378020253537j),(0.9920602897013621-0.12582882967379555j)
60939,78250,250,2,44100,0.1532003135063363,0.6351165194451917,885.6386592111755,-1.669309941888258,0.0221337861288184,(0.12332664675518815+0.09088935173363705j),(5564.631811025887-10.488583700001112j),(0.991813675192077-0.1258176223196247j)
60941,78250,250,0,44100,0.2207537622046602,-0.6396206147968434,442.29217247018494,-0.2004723989591235,0.0483872779321064,(0.1771156590001222-0.13176595487630377j),(2779.0036795452056-1.259605231635009j),(0.9979866461902172-0.06297245988355375j)
61034,78250,250,1,44100,0.0380058632679857,-0.1392344969602199,1328.7030684909498,2.09214375110396,0.0015571743668219,(0.037638062542862644-0.005274646032141435j),(8348.487597546768+13.145326877443985j),(0.9824274681811793-0.1882355106000703j)
61125,78500,250,2,44100,0.1446504178896144,0.5082058188775209,885.149084656545,-0.7498207455099336,0.0203769107690594,(0.12636935065729574+0.07038842667721394j),(5561.555723377463-4.711262691206459j),(0.9919523911025327-0.12576491523129302j)
61224,78500,250,1,44100,0.0406906250632928,2.809376443486937,1326.7931583180202,1.2510069521834268,0.0017314382135072,(-0.03846573791461567+0.013270794050303705j),(8336.487278010183+7.860308501138422j),(0.9823609188746311-0.18794564424091098j)
61229,78500,250,0,44100,0.2188926624825338,2.4537767449676657,442.1651519677304,0.040740192075919,0.0479833156066945,(-0.16912400745228928+0.1389642680402788j),(2778.2055861904723+0.25597817626308894j),(0.9980220840681024-0.06295656254380068j)
61322,78750,250,1,44100,0.0426195095900255,-0.5200261594252119,1330.0169879117427,-0.6809790735566672,0.0017732397990596,(0.03698547386542806-0.0211777553259079j),(8356.74319674631-4.278717709468018j),(0.9820041434487161-0.1883449891042136j)
61325,78750,250,2,44100,0.1409910012305491,0.3912951274231707,885.716041475514,-1.0347926285641895,0.0191662794172643,(0.13033432214567817+0.05377198990942483j),(5565.118018132214-6.50179383977226j),(0.9919019552336223-0.12583993300470006j)
61328,78750,250,0,44100,0.2191501646883207,-0.7299677179839124,442.2309279402184,-0.0852019134973346,0.0478819184612216,(0.1633098107523224-0.14613931844291161j),(2778.6188688143743-0.5353394110300391j),(0.998003585980545-0.06296478566113382j)
61413,78750,250,3,44100,0.0305651221793338,-0.2632782902575896,1765.8102521446897,4.485906082949413,0.0011000542242593,(0.029511909260199587-0.007954489653984743j),(11094.913031542594+28.185779189775282j),(0.9691381981168186-0.24909884967983106j)
61503,79000,250,1,44100,0.0409915865359726,2.384267905800717,1329.0949317390198,-0.7746073815421011,0.0016349707575751,(-0.029787620721020043+0.028160394502151305j),(8350.949746949464-4.867001718538181j),(0.9820157780407102-0.1882134701228983j)
61506,79000,250,2,44100,0.1371725054001961,0.2525114080646463,885.0776021262941,-0.9187952732887968,0.0182161065998616,(0.13282249564400134+0.034270700148466275j),(5561.106585393671-5.7729609614342206j),(0.9919297911186613-0.1257517851667916j)
61510,79000,250,0,44100,0.2179616339054578,2.369993809789368,441.966874501971,-0.206212099626405,0.0471614180164788,(-0.15623418884139756+0.15198076224248697j),(2776.9597721308683-1.295668834535281j),(0.9979887475853139-0.0629261545630941j)
61689,79250,250,1,44100,0.0399339839505924,-0.9466343751841516,1330.4271995367098,-1.5041798996084177,0.0015125779509015,(0.023338116718114973-0.032404558046944816j),(8359.320632401139-9.451041044574476j),(0.981877966369175-0.1883802865511765j)
61693,79250,250,2,44100,0.1320642172784543,0.1450933730222731,884.3338307193036,-1.1074735956660302,0.0167733509153254,(0.13067654061166636+0.019094481379139962j),(5556.433331817368-6.958461824378147j),(0.9919164462378707-0.12564329258614537j)
61695,79250,250,0,44100,0.2167513601676615,-0.8136082582595447,441.4933603033157,-0.4147111812997573,0.0462966855523895,(0.1488822902288155-0.15752846025640607j),(2773.984594675136-2.6057072010657247j),(0.9979633445610635-0.06285695850445042j)
61800,79250,250,3,44100,0.0374605449086212,-0.4373551763107957,1767.9115559569802,2.16566866022713,0.0015168609708664,(0.03393457232851455-0.015866229096154046j),(11108.1159127819+13.607297506158403j),(0.9687432802341476-0.24930655517126346j)
61898,79500,250,2,44100,0.1182288188095836,0.0504044062486039,885.4037563007654,-1.6375303514362192,0.0131966315123193,(0.1180786642888912+0.005956730383415168j),(5563.155872510584-10.288906644204676j),(0.9918223762873628-0.12578499776657984j)
61900,79500,250,0,44100,0.2144760412656338,2.3094917524504583,442.1518694487819,-0.0927945442001567,0.0458488717040543,(-0.14441185549456267+0.15857234396197661j),(2778.122129662573-0.5830453167048517j),(0.9980032155408437-0.0629534761172528j)
61987,79500,250,3,44100,0.0418852808432906,-0.5786022192690797,1769.7796040202943,0.1085473497097716,0.0017611500560506,(0.035067523619879526-0.022905142184464176j),(11119.853204926421+0.6820231128297216j),(0.9683930245204292-0.2494912449204426j)
61989,79500,250,1,44100,0.03955271494146,1.9159074025660423,1326.775523029955,1.4021938710806907,0.0016448908266243,(-0.013380731159055439+0.03722060306993267j),(8336.376472227323+8.810243928591463j),(0.9823825518738627-0.18794722438846714j)
62072,79750,250,3,44100,0.041146725789167,-0.8113405369215578,1770.31601342899,-2.5144579668745277,0.0015506370079424,(0.028330626730477468-0.029840050808054304j),(11123.22356464177-15.798805352986685j),(0.9680121260353788-0.24947200517027868j)
62078,79750,250,2,44100,0.1194385822341571,-0.0183124260056392,883.4880740518324,-0.47975143008748,0.0140255134145003,(0.11941855623133393-0.002187087956450044j),(5551.119285950864-3.014367136624049j),(0.9920202966609855-0.1255349925873187j)
62080,79750,250,0,44100,0.2142179724670851,-0.8737112573589151,442.60528423902616,-0.1886695524704685,0.0455835558291688,(0.1375248303697402-0.16424451515859834j),(2780.9710188106937-1.185445759994596j),(0.9979855141727403-0.06301708684186184j)
62170,79750,250,1,44100,0.0411397088776653,-1.3681014649974284,1328.286182417674,0.3027585582210438,0.0017107853413257,(0.008281824516729054-0.040297481673339915j),(8345.868225096392+1.9022881246373378j),(0.9821882118227422-0.18812918925095354j)
